"Gene","Module"
"Egr2","blue"
"Tcf19","blue"
"0610039N19Rik","blue"
"Rbl1","blue"
"1110055L24Rik","blue"
"AW011752","blue"
"D10Ucla1","blue"
"Blnk","blue"
"Atp6v0a2","blue"
"Fau","blue"
"Yme1l1","blue"
"Il7r","blue"
"Reg3g","blue"
"Cpd","blue"
"2610529C04Rik","blue"
"AW547365","blue"
"4632428N05Rik","blue"
"Cnn3","blue"
"Tnfaip8","blue"
"9530058O11Rik","blue"
"Cited2","blue"
"Rgl1","blue"
"Jund1","blue"
"D11Bwg0280e","blue"
"4932417D18Rik","blue"
"Kcnk7","blue"
"2810455B10Rik","blue"
"Car12","blue"
"2310034J19Rik","blue"
"Ass1","blue"
"Cpxm1","blue"
"Mki67","blue"
"Gucy1b2","blue"
"Sp100","blue"
"4933414G08","blue"
"BC036563","blue"
"Fbxw2","blue"
"Pde4a","blue"
"Fads2","blue"
"Actn2","blue"
"BC022145","blue"
"Ifi16","blue"
"Dnmt3a","blue"
"B230303A05","blue"
"Nek7","blue"
"4930544G11Rik","blue"
"1110059E24Rik","blue"
"Mgst2","blue"
"Tmsb4x","blue"
"Fmo3","blue"
"Cpeb1","blue"
"2610511M17Rik","blue"
"BC031748","blue"
"2810489O06Rik","blue"
"Nbea","blue"
"Ctrc","blue"
"Fdps","blue"
"Laptm4b","blue"
"Ttpa","blue"
"Mat1a","blue"
"E030006K04Rik","blue"
"Tnfsf8","blue"
"Pou2f1","blue"
"Ell2","blue"
"Wnt6","blue"
"Apln","blue"
"Gpr86","blue"
"Casq1","blue"
"5830411E10Rik","blue"
"Ralgds","blue"
"2610529H08Rik","blue"
"Numbl","blue"
"Sh3d4","blue"
"Gjc1","blue"
"Daam1","blue"
"Foxp1","blue"
"BC019776","blue"
"Mkl1","blue"
"Il22ra2","blue"
"Rcn2","blue"
"6230427J02Rik","blue"
"Lass1","blue"
"Zfp131","blue"
"Slc13a1","blue"
"Rraga","blue"
"Pcdha4","blue"
"Frag1","blue"
"4933424A10Rik","blue"
"Bnip3","blue"
"C81234","blue"
"1500002I11Rik","blue"
"Ppargc1a","blue"
"Ap3s1","blue"
